PatchID,XCOORD,YCOORD,ID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U8,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U9,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U10,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U11,XY,1,50.741,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U12,XX,1,53.923,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U13,XY,1,57.007,1,1,0.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U14,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U15,XY,1,49.301,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U16,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U17,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U18,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U19,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U20,XY,1,47.006,1,1,0.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U21,XY,1,57.5,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U22,XY,1,51.874,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U23,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U24,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U25,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U26,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U27,XY,1,51.558,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U28,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U29,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U30,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U31,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U32,XY,1,56.634,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U33,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U34,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U35,XX,1,51.099,1,1,1.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U36,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U37,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U38,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U39,XY,1,50.767,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U40,XY,1,53.537,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U41,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U42,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U43,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U44,XY,1,47.466,1,1,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U45,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U46,XX,1,47.372,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U47,XY,1,54.347,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U48,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.0,1,P1_CV0,2,0,2,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U49,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U0,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U1,XX,1,53.767,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U2,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U3,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U4,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U5,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U6,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U7,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U8,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U9,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U10,XX,1,48.111,1,1,1.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U11,XY,1,57.096,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U12,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U13,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U14,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U15,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U16,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U17,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U18,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U19,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U20,XY,1,48.447,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U21,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U22,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U23,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U24,XX,1,44.744,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U25,XY,1,45.887,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U26,XY,1,51.954,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U27,XX,1,48.79,1,1,1.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U28,XY,1,55.201,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U29,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U30,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,1,1
